FWLR,"Fowler (Harriet O. and James M., Jr.) Memorial House","https://www.google.com/maps/search/Fowler+(Harriet+O.+and+James+M.,+Jr.)+Memorial+House+Purdue+University"
GCMB,Golf Course Maintenance Barn,https://www.google.com/maps/search/Golf+Course+Maintenance+Barn+Purdue+University
GMF,Grounds Maintenance Facility,https://www.google.com/maps/search/Grounds+Maintenance+Facility+Purdue+University
GMGF,Grounds Maintenance Greenhouse Facilities,https://www.google.com/maps/search/Grounds+Maintenance+Greenhouse+Facilities+Purdue+University
GRIS,Grissom Hall,https://www.google.com/maps/search/Grissom+Hall+Purdue+University
GRS,Grounds Service Building,https://www.google.com/maps/search/Grounds+Service+Building+Purdue+University
GSMB,Golf Storage Maintenance Building,https://www.google.com/maps/search/Golf+Storage+Maintenance+Building+Purdue+University
HAAS,Haas (Felix) Hall,https://www.google.com/maps/search/Haas+(Felix)+Hall+Purdue+University
HAGL,Hagle (Marc and Sharon) Hall,https://www.google.com/maps/search/Hagle+(Marc+and+Sharon)+Hall+Purdue+University
HAMP,Hampton (Delon and Elizabeth) Hall of Civil Engineering,https://www.google.com/maps/search/Hampton+(Delon+and+Elizabeth)+Hall+of+Civil+Engineering+Purdue+University
HANS,Hansen (Arthur G.) Life Sciences Research Building,https://www.google.com/maps/search/Hansen+(Arthur+G.)+Life+Sciences+Research+Building+Purdue+University
HEAV,Heavilon Hall,https://www.google.com/maps/search/Heavilon+Hall+Purdue+University
HERL,Herrick Acoustics,https://www.google.com/maps/search/Herrick+Acoustics+Purdue+University
HGRH,Horticultural Greenhouse,https://www.google.com/maps/search/Horticultural+Greenhouse+Purdue+University
HIKS,Hicks (John W.) Undergraduate Library,https://www.google.com/maps/search/Hicks+(John+W.)+Undergraduate+Library+Purdue+University
HLAB,Herrick Laboratories,https://www.google.com/maps/search/Herrick+Laboratories+Purdue+University
HMMT,Hazardous Materials Management Trailer,https://www.google.com/maps/search/Hazardous+Materials+Management+Trailer+Purdue+University
