,,,,,
Subject,Subject Desc,Course Number,Title,Academic Period Desc,CRN
,,33200,Visual Commun Design I,Fall 2024,10302
,,,,,10301
,,33800,Adv Interior Design Com,Fall 2024,13468
,,33900,20th Cent Women Artists-Honors,Fall 2024,13486
,,,20th Century Women Artists,Fall 2024,13486
,,34700,Lighting Interior Environments,Fall 2024,14205
,,34800,History Of Islamic Art,Fall 2024,22716
,,,History Of Islamic Art-Honors,Fall 2024,22716
,,36101,The Constructed Image,Fall 2024,17741
,,38000,Baroque Art,Fall 2024,27153
,,38300,Modern Art,Fall 2024,10308
,,39500,History Of Design,Fall 2024,10309
,,39700,Sustainability Built Envirnmnt,Fall 2024,38946
,,40500,Industrial Design III,Fall 2024,27156
,,,,,27157
,,41500,Professional Techniqes,Fall 2024,10312
,,43000,Interior Design V,Fall 2024,14662
,,,,,14663
,,43100,Visual Comm Design III,Fall 2024,10316
,,,,,10317
,,43400,VCD Profession Practice,Fall 2024,13085
,,47800,Intern Art And Design,Fall 2024,10322
,,49100,Intro To Curatorial Practices,Fall 2024,32083
,,52200,Interaction Design Evaluation,Fall 2024,27159
,,53500,Furniture Design,Fall 2024,18175
AFT,AFT-Aerospace Studies,11000,Heritage And Values I,Fall 2024,10499
,,,,,10501
,,,,,65283
,,20220,Air Force ROTC Lead Lab,Fall 2024,23927
,,23000,Team & Ldrshp Fund I,Fall 2024,16771
,,,,,16772
,,35100,Leading Ppl & Effect Comm I,Fall 2024,10509
,,,,,16767
,,40220,Air Force ROTC Lead Lab,Fall 2024,23929
,,47100,Natl Sec Commission Prep I,Fall 2024,10512
,,,,,16765
,,,Natl Sec Commssn Prep I-Honors,Fall 2024,10512
AGEC,AGEC-Agricultural Economics,20201,Intro To Data Analytics AGBS,Fall 2024,16168
,,20300,Microecon Food & Agbus,Fall 2024,61752
,,,,,17532
,,,Microecon Food & Agbus-Honors,Fall 2024,17532
,,21700,Economics,Fall 2024,10520
,,,,,53420
,,,Economics-Honors,Fall 2024,10520
,,,,,53420
,,22000,Econ Of Agricultural Markets,Fall 2024,10523
,,26000,Mentoring Leadership,Fall 2024,50861
,,29600,Discovering Agribusiness Comm,Fall 2024,30225
,,29800,Careers In Agribusiness,Fall 2024,66881
,,30500,Agricultural Prices,Fall 2024,59043
,,32100,Principles Commodity Marketing,Fall 2024,10536
,,32700,Prin Of Food & Agribus Mrkt,Fall 2024,11996
,,33000,Mgmt Methods Agr Bus,Fall 2024,10537
,,33100,Prin Of Industrial Selling,Fall 2024,10538
,,34000,Intl Econ Development,Fall 2024,17139
,,35200,Tech For Firm Decision,Fall 2024,11072
,,40600,Nat Res & Envir Econ,Fall 2024,10543
,,,Nat Res & Envir Econ-Honors,Fall 2024,10543
,,41100,Farm Management,Fall 2024,10544
,,42400,Finan Mgt Agr Bus,Fall 2024,10547
,,42700,Adv Agribusn Marketing,Fall 2024,53147
,,43000,Agr&Food Bus Strategy,Fall 2024,10235
,,43100,Adv Ind Sales And Marketing,Fall 2024,53421
,,45500,Agricultural Law,Fall 2024,12068
,,45600,Federal Income Tax Law,Fall 2024,10121
,,51600,Math For Applied Econ,Fall 2024,59898
,,52500,Environmtl Policy Anly,Fall 2024,11794
,,53000,Stratgic Agribusn Mgmt,Fall 2024,21907
,,55200,Intro Math Programming,Fall 2024,54758
AGR,AGR-Agriculture,10100,Intd To Agr And Purdue,Fall 2024,12035
,,,,,13920
,,10700,Pathway To Purdue,Fall 2024,19178
,,10800,Agriculture Tech & Innovation,Fall 2024,23057
,,11100,Intro To ABE Programs,Fall 2024,36231
,,11200,Intro To AGEC Programs,Fall 2024,36232
,,11300,Intro To AGRY Programs,Fall 2024,36233
,,11400,Intro To ANSC Programs,Fall 2024,36237
,,11500,Intro To BCHM Programs,Fall 2024,11224
,,11700,Intro To ENTM Programs,Fall 2024,36240
,,11800,Intro To FS Programs,Fall 2024,36241
,,11900,Intro To FNR Programs,Fall 2024,36242
,,12000,Intro To HLA Programs,Fall 2024,33387
,,12100,Intro To ASEC Programs,Fall 2024,54527
,,12200,Intro To NRES Programs,Fall 2024,36246
,,12400,Intro To PRMD Programs,Fall 2024,17160
,,12500,Introduction To Plant Science,Fall 2024,19404
,,15000,Woman In Agriculture I,Fall 2024,27661
,,20100,Com Across Culture,Fall 2024,10674
,,,,,54639
,,20500,Dean's Scholars Seminar-Honors,Fall 2024,23977
,,49000,Adv Agricultural Leadership,Fall 2024,26628
,,,Gateways To Graduate School,Fall 2024,31857
AGRY,AGRY-Agronomy,10500,Crop Production,Fall 2024,10683
,,,Crop Production-Honors,Fall 2024,10683
,,12500,Environmental Scienc & Conserv,Fall 2024,12188
,,25500,Soil Science,Fall 2024,10735
,,,,,21967
,,32000,Genetics,Fall 2024,10762
,,,Genetics-Honors,Fall 2024,10762
,,32100,Genetics Laboratory,Fall 2024,10763
,,,,,10764
,,,,,10766
,,,,,10767
,,,,,10768
,,34900,Soil Ecology,Fall 2024,10769
,,37500,Crop Production Systms,Fall 2024,10776
,,39800,Agronomy Seminar,Fall 2024,10780
,,39900,Idntfy Crops & Weeds,Fall 2024,20460
,,42000,Computing For Natural Sciences,Fall 2024,19825
,,45000,Soil Conser Water Mgt,Fall 2024,10795
,,48000,Plant Genetics,Fall 2024,63783
,,,Plant Genetics-Honors,Fall 2024,63783
,,48500,Precision Crop Management,Fall 2024,21651
,,49800,Agry Senior Seminar,Fall 2024,38344
,,52000,Prin & Mthd Plnt Breed,Fall 2024,10077
,,54500,Remote Sens Land Resrc,Fall 2024,33791
,,56000,Soil Physics,Fall 2024,10812
,,56500,Soils And Landscapes,Fall 2024,10814
,,60100,Intro To Graduate Research,Fall 2024,28030
,,64900,Molec Microbial Ecol,Fall 2024,21626
AMST,AMST-American Studies,10100,America And The World,Fall 2024,27861
,,,,,28377
,,22000,Technology And Play,Fall 2024,18920
,,32000,Understanding The NFL,Fall 2024,16361
ANSC,ANSC-Animal Sciences,10200,Intro To Animal Agr,Fall 2024,10902
,,,,,27646
,,,Intro To Animal Agr-Honors,Fall 2024,10902
,,12100,Ethics Of Animal Use,Fall 2024,23797
,,,Ethics Of Animal Use-Honors,Fall 2024,23797
,,22100,Princ Of Animal Nutr,Fall 2024,10911
,,,,,10912
,,,,,57087
,,23000,Physiolo/Domestic Anim,Fall 2024,10914
,,24000,Animal Production,Fall 2024,21849
,,,Animal Production-Honors,Fall 2024,21849
,,25500,Principles Of Animal Products,Fall 2024,25618
,,31100,Animal Breeding And Genetics,Fall 2024,10926
,,32500,Applied Ruminant Nutrition,Fall 2024,21867
,,32600,Applied Non-ruminant Nutrition,Fall 2024,21870
,,33300,Physiol Of Reproductn,Fall 2024,11592
,,,Physiol Of Reproductn-Honors,Fall 2024,11592
,,34500,Animal Health Mgmt,Fall 2024,10931
,,36000,Muscle Food Prod And Safety,Fall 2024,15743
,,38100,Leadership Diverse Workplace,Fall 2024,11915
,,40400,Animal Welfare-Honors,Fall 2024,10939
,,,Animal Welfare,Fall 2024,10939
,,41500,Advanced Animal Physiology,Fall 2024,16242
,,42600,Non-ruminant Reprod Farm Mgmt,Fall 2024,26612
,,44000,Horse Management,Fall 2024,27531
,,44100,Beef Management,Fall 2024,10946
,,44400,Dairy Management,Fall 2024,57876
,,44600,Companion Anim Mgmt,Fall 2024,10948
,,48100,Contemp Issues An Sci,Fall 2024,50161
,,,,,50162
,,59500,Adv Animal Welfare Assessment,Fall 2024,30435
,,68100,Anim Sc Grad Sem,Fall 2024,21425
,,,,,30611
,,69100,Current Topics In Genomics,Fall 2024,33327
,,69900,Research PhD Thesis,Fall 2024,11012
ANTH,ANTH-Anthropology,10000,Being Human: Intro To Anth,Fall 2024,11021
,,,,,16082
,,20100,Intro Arch Prehist,Fall 2024,22787
,,20300,Biol Base Human Behav,Fall 2024,20396
,,,Biol Base Human Behav-Honors,Fall 2024,20396
