,,,,,
Subject,Subject Desc,Course Number,Title,Academic Period Desc,CRN
,,48000,Sem Anim Wel & Hum-Anim Int-VN,Fall 2024,17286
,,58000,Cancer Genetics/Gnomics,Fall 2024,15970
,,60400,Neoplastic Diseases,Fall 2024,33290
,,69100,Semnr Vet Pathology,Fall 2024,36196
,,69700,Research Seminar,Fall 2024,41445
,,85100,General Pathology,Fall 2024,13405
,,85204,Veterinary Parasitology,Fall 2024,15425
,,85500,Vet Hematol & Cytology,Fall 2024,25812
,,85603,Vet Bacteriology & Mycology,Fall 2024,16084
CS,CS-Computer Sciences,10100,Digital Literacy,Fall 2024,11989
,,15900,C Programming,Fall 2024,23897
,,,,,23898
,,,,,23899
,,,,,23900
,,,,,12941
,,17600,Data Engineering In Python,Fall 2024,11998
,,,,,15704
,,17700,Progrmng With MM Objs,Fall 2024,13126
,,,,,15483
,,18000,Prob Solving & O-O Programming,Fall 2024,10687
,,,,,26043
,,18200,Foundations Of Comp Sc,Fall 2024,13146
,,19300,Tools,Fall 2024,24529
,,,,,24530
,,,,,24531
,,,,,24532
,,21100,Competitive Programming I,Fall 2024,22931
,,23500,Intro Organizatnl Comp,Fall 2024,13168
,,,,,58437
,,24000,Programming In C,Fall 2024,51076
,,24200,Introduction To Data Science,Fall 2024,18502
,,24300,Artificial Intelligence Basics,Fall 2024,31498
,,25000,Computer Architecture,Fall 2024,13209
,,,,,11961
,,25100,Data Structures And Algorithms,Fall 2024,12283
,,,,,26787
,,25200,Systems Programming,Fall 2024,64662
,,29100,Soph Developmt Seminar,Fall 2024,68697
,,30700,Software Engineerng I,Fall 2024,52675
,,31100,Competitive Programming II,Fall 2024,22932
,,31400,Numerical Methods,Fall 2024,67279
,,33400,Fund Of Computer Graph,Fall 2024,58534
,,34800,Information Systems,Fall 2024,26857
,,35200,Compilers Prin & Pract,Fall 2024,15451
,,35400,Operating Systems,Fall 2024,13241
,,35500,Intro To Cryptography,Fall 2024,13246
,,,Intro To Cryptography-Honors,Fall 2024,13246
,,36100,Great Issues In Computer Sci,Fall 2024,31692
,,37300,Data Mining & Machine Learning,Fall 2024,11717
,,,,,11986
,,38003,Python Programming,Fall 2024,11344
,,,,,11277
,,38100,Intro Analysis Algor,Fall 2024,13247
,,,Intro Analysis Algor-Honors,Fall 2024,13247
,,39000,Web Application Development,Fall 2024,26036
,,39700,Honors Seminar,Fall 2024,13251
,,40700,Software Engr Senior Project,Fall 2024,11750
,,40800,Software Testing,Fall 2024,11423
,,,Software Testing-Honors,Fall 2024,11423
,,42200,Computer Networks,Fall 2024,21548
,,42600,Computer Security,Fall 2024,26875
,,43900,Intro To Data Visualization,Fall 2024,11988
,,44000,Large Scale Data Analytics,Fall 2024,11987
,,44100,Data Science Capstone,Fall 2024,30660
,,,Data Science Capstone-Honors,Fall 2024,30660
,,44800,Intro Relational Db Sy,Fall 2024,19624
,,45600,Programming Languages,Fall 2024,26616
,,45800,Intro To Robotics,Fall 2024,31438
,,47100,Intr To Artifcl Intlgn,Fall 2024,11746
,,47300,Web Info Search & Management,Fall 2024,12510
,,49000,Embedded Systems,Fall 2024,32251
,,50100,Computing For Sci And Engrng,Fall 2024,10781
,,50200,Compil & Progr Systms,Fall 2024,13216
,,50300,Operating Systems,Fall 2024,12014
,,51500,Numerical Linear Algeb,Fall 2024,11599
,,52600,Information Security,Fall 2024,46101
,,52900,Security Analytics,Fall 2024,13240
,,53500,Interact Comptr Graph,Fall 2024,37412
,,53600,Data Comm & Comp Netwk,Fall 2024,13281
,,54100,Database Systems,Fall 2024,10857
,,55500,Cryptography,Fall 2024,12526
,,56000,Reasoning About Programs,Fall 2024,12065
,,57100,Artificial Intelligence,Fall 2024,11993
,,57300,Data Mining,Fall 2024,11534
,,57800,Statistical Machine Learning,Fall 2024,60972
,,58000,Alg Design Anly & Impl,Fall 2024,38512
,,59000,Computing For Life Sciences,Fall 2024,59501
,,59100,CERIAS Security Seminar,Fall 2024,34240
,,,Res Sem First Yr Gr Student,Fall 2024,17268
,,59200,AI And Security,Fall 2024,13472
,,,Compilers For GPUs,Fall 2024,13475
,,,Machine Learning Systems,Fall 2024,33513
,,,Motion Planning,Fall 2024,14444
,,,Reasoning With LLM,Fall 2024,13547
,,,Reinforcement Learning,Fall 2024,33347
,,59300,Algorithmic Economics,Fall 2024,32464
,,,Comp Vision With Deep Learning,Fall 2024,31268
,,,Machine Learning Theory,Fall 2024,12772
,,,Principles Comp Architecture,Fall 2024,31267
,,69900,Research PhD Thesis,Fall 2024,13330
,,,,,13331
,,,,,18185
,,,,,24363
,,,,,30970
CSR,CSR-Consumer Science,10000,Introduction To CSR,Fall 2024,25223
,,10300,Intro To Personal Finance,Fall 2024,25586
,,20100,Intro To Professional Sales,Fall 2024,23127
,,20900,Intro To Retail Mgmt,Fall 2024,17415
,,28200,Customer Relation Mgmt,Fall 2024,17422
,,,,,21348
,,30700,Field Exp In SSM,Fall 2024,21433
,,30900,Leadership Strategies,Fall 2024,21360
,,31000,Buying Of Merchandise,Fall 2024,32299
,,31500,Relationship Selling,Fall 2024,33066
,,33100,Consumer Behavior,Fall 2024,17435
,,34100,Luxury Brand Management,Fall 2024,24971
,,34200,Personal Finance,Fall 2024,22809
,,,Personal Finance-Honors,Fall 2024,22809
,,34400,Fundamentals Of Negotiations,Fall 2024,14423
,,,,,23912
,,39000,Sales Competition Team,Fall 2024,34578
,,40400,Strat Iss Sales&Retail,Fall 2024,15921
,,41500,Sales Force Management,Fall 2024,38501
,,41800,Selling & Sales Mgmt Capstone,Fall 2024,43702
,,,,,21675
,,48400,Consumer Investment,Fall 2024,57586
,,48600,Ret Plan Employee Ben,Fall 2024,17480
DANC,DANC-Dance,10100,Modern Dance Technique I,Fall 2024,22146
,,,,,26882
,,10200,Ballet I,Fall 2024,17502
,,,,,20049
,,,,,20055
,,10300,Jazz Dance I,Fall 2024,16259
,,,,,26889
,,20200,Ballet II,Fall 2024,17513
,,20300,Jazz Dance II,Fall 2024,17515
,,24500,Practicum Dance Perf,Fall 2024,17517
,,26000,Dance Improvisation,Fall 2024,19818
,,30100,Modern Dance Technique III,Fall 2024,17522
,,34500,Choreography,Fall 2024,20079
EAPS,EAPS-Earth Atmos Planetary Sci,10000,Planet Earth,Fall 2024,17524
,,,,,25084
,,10400,Oceanography,Fall 2024,14763
,,,,,14767
,,,Oceanography-Honors,Fall 2024,14767
,,10500,The Planets,Fall 2024,67275
,,,,,22696
,,,The Planets-Honors,Fall 2024,67275
,,,,,22696
,,10600,Geosciences Cinema,Fall 2024,67271
,,,,,22409
,,,Geosciences Cinema-Honors,Fall 2024,67271
,,,,,22409
,,,Geosciences Cinema -Honors,Fall 2024,67271
,,,,,22409
,,11100,Physical Geology,Fall 2024,17544
,,,Physical Geology-Honors,Fall 2024,17544
,,11200,Earth Through Time,Fall 2024,24876
,,11600,Earthquakes Volcanoes,Fall 2024,22365
,,,,,21822
,,11700,Intro Atmospheric Sci,Fall 2024,12012
,,,Intro Atmospheric Sci-Honors,Fall 2024,12012
,,11800,Introduction To Earth Sciences,Fall 2024,15843
,,12000,Intro To Geography,Fall 2024,19631
,,12500,Environmental Scienc & Conserv,Fall 2024,12190
,,13700,Freshman Seminar In EAPS,Fall 2024,13931
,,22500,Science Atmosphere,Fall 2024,17570
,,,Science Atmosphere-Honors,Fall 2024,17570
,,22700,Intro To Atmos Obs And Meas,Fall 2024,20565
,,24300,Mineralogy,Fall 2024,17571
,,31201,Earth Systems Sci For Elem,Fall 2024,25826
,,,,,25828
,,,Earth Sys Sci For Elem-Honors,Fall 2024,25828
,,31500,Biogeochemistry,Fall 2024,27873
,,32700,"Climate, Science & Society",Fall 2024,25603
,,35300,Earth Surface Processes,Fall 2024,47862
,,36000,Great Issues Climate Chg Soc,Fall 2024,16175
,,,,,27899
,,37500,"Fossil Fuels, Energy & Society",Fall 2024,16428
,,42100,Atmos Thermodynamics,Fall 2024,16528
,,42300,Atmos Dynamics II,Fall 2024,22258
,,,Atmos Dynamics II-Honors,Fall 2024,22258
,,43100,Synoptic Lab I,Fall 2024,16216
,,43300,Synoptic Lab III,Fall 2024,22282
,,47400,Sedimentary Geology,Fall 2024,15854
,,50300,Mars,Fall 2024,32178
,,50400,Geologic Dating Methods,Fall 2024,32177
,,50700,Intro Analysis Geosci Data,Fall 2024,19005
,,,,,21303
,,52100,Atmospheric Chemistry,Fall 2024,20045
,,55600,Planetary Surface Processes,Fall 2024,27404
,,55700,Intro Seismology,Fall 2024,27422
,,58400,Hydrogeology,Fall 2024,16732
,,59100,Paleoclimate Reconstruction,Fall 2024,27488
,,,Sustainable Geophysics,Fall 2024,27430
,,60200,New Grad Seminar,Fall 2024,23179
,,69100,Colloquium In EAPS,Fall 2024,17637
ECE,ECE-Electrical & Computer Engr,20001,Electrical Engr Fundamentals I,Fall 2024,20739
,,,,,12785
,,20002,Elect Engr Fundamental II,Fall 2024,20765
,,,,,24060
,,20007,Elec Engr Fundamentals I Lab,Fall 2024,20748
,,,,,20749
,,,,,20751
,,,,,20752
,,,,,20761
,,,,,20762
,,,,,21693
,,,,,21695
,,,,,21702
,,,,,21703
,,,,,24195
,,,,,24201
,,,,,10387
,,,,,17070
,,,,,21148
,,,,,21149
,,,,,21150
,,,,,21152
,,,,,21153
,,,,,21154
,,20008,Elec Engr Fundamentals II Lab,Fall 2024,20767
,,,,,20770
,,,,,24896
,,,,,24897
,,,,,10388
,,,,,32457
,,20875,Python For Data Science,Fall 2024,21503
,,,,,23070
,,,,,27067
,,,Python For Data Science-Honors,Fall 2024,27067
,,26400,Advanced C Programming,Fall 2024,59109
,,,,,59110
,,27000,Intro Digitl Sys Desgn,Fall 2024,35660
,,,Intro Digitl Sys Desgn-Honors,Fall 2024,35660
,,29401,ECE Sophomore Seminar,Fall 2024,20774
,,,,,20798
,,30100,Signals And Systems,Fall 2024,17727
,,,,,17101
,,,,,17102
,,,Signals And Systems-Honors,Fall 2024,17101
,,30200,Probabilistic Methods,Fall 2024,17728
,,,,,17104
,,,,,33392
,,30411,Electromagnetics I,Fall 2024,21495
,,,,,30358
,,30412,Electromagnetics II,Fall 2024,24033
,,30414,Elmt Fiber Opt/Lasers/Optoelec,Fall 2024,24992
,,30500,Semiconductor Devices,Fall 2024,17731
,,30600,Circuits & Systems Lab,Fall 2024,17736
,,,,,17734
,,30800,Sysm Simul & Contr Lab,Fall 2024,61744
,,,,,11869
,,30834,Fund Of Computer Graphics,Fall 2024,59177
,,30864,Software Engineering Tools,Fall 2024,20241
,,,,,20243
,,31032,Power Systems Engineering,Fall 2024,24991
,,32100,Electromech Motion Dev,Fall 2024,23706
,,32300,Elec-Mech Mot Dev Lab,Fall 2024,10848
,,,,,25686
,,33700,ASIC Design Lab,Fall 2024,21734
,,36200,Micropro Sys & Intrfac,Fall 2024,17750
,,,Micropro Sys & Intrfac-Honors,Fall 2024,17750
,,36800,Data Structures,Fall 2024,17766
,,,,,26543
,,36900,Disc Math For Comp Eng,Fall 2024,32771
,,,,,32772
,,38200,Fdbk Sys Anly & Design,Fall 2024,17768
,,39401,Prof Communication And Div,Fall 2024,24032
,,,,,24236
,,,,,12907
,,,,,12908
,,,,,12910
,,,,,12911
,,,,,25293
,,,,,33030
,,39595, Obj Oriented Pgming With C++,Fall 2024,24238
,,,ECE Reverse Eng,Fall 2024,31072
,,39600,Ind Pract Seminar I,Fall 2024,68281
,,39699,Prof Practice Internship,Fall 2024,52602
,,40862,Software For Embedded Systems,Fall 2024,16696
,,43700,Computer Des&Prototypg,Fall 2024,17782
,,43800,Dig Sig Proc With Appl,Fall 2024,17787
,,44000,Transmission Informa,Fall 2024,17791
,,45500,Integrated Circ Engrg,Fall 2024,17800
,,46100,Software Engineering,Fall 2024,18613
,,46300,Intro Comp Comm Netwrk,Fall 2024,57741
,,46800,Int Cmplrs & Trnsl Eng,Fall 2024,53460
,,47700,Digital Systems Sr Project,Fall 2024,37776
,,49022,Elec Engr Sr Design Proj,Fall 2024,13524
,,49401,Professional Comm Capstone,Fall 2024,22392
,,49595,Introduction To Game Theory,Fall 2024,31071
,,,Open Source Software,Fall 2024,25817
,,49600,SCALE,Fall 2024,27113
,,50631,Fundamentals Of Current Flow,Fall 2024,19123
,,50632,Intro To Quantum Transport,Fall 2024,19125
,,50633,Boltzmann Law,Fall 2024,19133
,,50836,Intro To Data Mining,Fall 2024,30167
,,,,,30165
,,50863,Computer Network Systems,Fall 2024,32760
,,53800,Digital Signal Proc I,Fall 2024,17840
,,54400,Digital Communications,Fall 2024,19466
,,54700,Intr Cmptr Comm Ntwrks,Fall 2024,18867
,,55900,MOS VLSI Design,Fall 2024,27174
,,,,,21559
,,56500,Computer Architecture,Fall 2024,21105
,,,,,27732
,,56900,Intro To Robotic Syst,Fall 2024,12296
,,57000,Artificial Intellignce,Fall 2024,34846
,,,,,27733
,,57300,Cmplr & Trnslr Wrt Sys,Fall 2024,24218
,,59500,Applied Crypto,Fall 2024,31866
,,,Integratd Circuit/MEMS Fab,Fall 2024,27189
,,,Integratd Circuit/MEMS Fab Lab,Fall 2024,30450
,,,Integration Through Simulation,Fall 2024,31867
,,,Intro Quantum Science & Tech,Fall 2024,30853
,,,Introduction To Game Theory,Fall 2024,28690
,,,IP Generation & Management,Fall 2024,32840
,,,Reinforcement Learning-ThryAlg,Fall 2024,28890
,,,,,31608
,,60000,Random Variables,Fall 2024,17855
,,60200,Lumped System Theory,Fall 2024,16449
,,60400,Electromag Fld Theo,Fall 2024,18508
,,60422,Primer On RF Design,Fall 2024,27884
,,60600,Solid State Devices,Fall 2024,26011
,,60800,Comp Models & Methods,Fall 2024,17860
,,61000,Energy Conversion,Fall 2024,25587
,,61200,Advanced VLSI Devices,Fall 2024,27226
,,61500,Nonlinear Optics,Fall 2024,27419
,,62900,Intro Neural Networks,Fall 2024,27701
,,64100,Mdl Based Img & Signal Process,Fall 2024,15630
,,65600,Elec Transpt Semicond,Fall 2024,27233
,,66100,Computer Vision,Fall 2024,27760
,,67800,Radar Engineering,Fall 2024,28031
,,69400,ECE Seminar,Fall 2024,17891
,,69500,Comm For Engr Leaders: I2I,Fall 2024,34020
,,,Flex & Stretchable Electronics,Fall 2024,32815
,,,Ideas To Innovation Part I,Fall 2024,21707
,,,Intro To Operating Systems,Fall 2024,24469
,,,ML In Cloud Computing,Fall 2024,29210
,,,Optimization For Deep Learning,Fall 2024,32033
,,,,,32035
,,,Topological Electrodynamics,Fall 2024,27458
,,69900,Research PhD Thesis,Fall 2024,17957
,,,,,17962
,,,,,17971
,,,,,17974
,,,,,18015
,,,,,24180
,,,,,24182
,,,,,30926
,,,,,22071
ECET,ECET-Electrical&Comp Engr Tech,17700,DAQ And Systems Control,Fall 2024,13609
,,17900,Intro To Digital Systems,Fall 2024,56365
,,22400,Electronic Systems,Fall 2024,26631
,,22700,DC And Pulse Electronics,Fall 2024,56369
,,22900,Concurrent Digital Systems,Fall 2024,56374
,,27000,Electronic Prototype Develop,Fall 2024,64383
,,27400,Wireless Communications,Fall 2024,64373
,,27700,AC And Power Electronics,Fall 2024,16622
,,27900,Embedded Digital Systems,Fall 2024,64364
,,30201,Intro To Industrial Controls,Fall 2024,12010
,,32300,Intro Electric Vehicle Systems,Fall 2024,15084
,,32700,Instrmnt Data Aquisitn Design,Fall 2024,13893
,,33900,Digital Signal Processing,Fall 2024,18487
,,34900,Advanced Digital Systems,Fall 2024,63418
,,36400,Fund Of Electromagnetics,Fall 2024,26652
,,36900,Applied Computer Vision,Fall 2024,16618
,,37600,Electrical Energy Systems,Fall 2024,19633
,,38800,Analog IC Applications,Fall 2024,13927
ECON,ECON-Economics,21000,Prin Of Economics,Fall 2024,19205
,,,,,18170
,,25100,Microeconomics,Fall 2024,18189
,,,,,18187
,,,,,16553
,,,,,20012
,,,,,20015
,,,,,20016
,,,Microeconomics-Honors,Fall 2024,18189
,,,,,18187
,,,,,16553
,,,,,15775
,,,,,16559
,,25200,Macroeconomics,Fall 2024,21082
,,,,,33270
,,,,,13791
,,,,,14192
,,26000,Statistical Inference,Fall 2024,13798
,,,,,24428
,,29000,Econ Scholar Program,Fall 2024,13799
,,,,,21098
,,30100,Managerial Economics,Fall 2024,10332
,,,,,10334
,,32200,Economics Of Public Policy,Fall 2024,16990
,,34000,Intrm Microecon Thry,Fall 2024,16580
,,,,,19002
,,,,,31451
,,35200,Intermed Macroecon,Fall 2024,15777
,,,,,38639
,,,,,23777
,,36000,Econometrics,Fall 2024,14173
,,,,,64762
,,37000,International Trade,Fall 2024,18207
,,,,,18206
,,,,,21116
,,37300,Computational Economics,Fall 2024,16234
,,,,,21117
,,38000,Money And Banking,Fall 2024,21156
,,,,,21158
,,,,,21122
,,43200,Econ Of Growth & Innovation,Fall 2024,33031
,,,,,33032
,,45100,Game Theory,Fall 2024,52492
,,,,,18061
,,,,,21123
,,46100,Industrial Organizatn,Fall 2024,15948
,,47100,Behavioral Economics,Fall 2024,14175
,,,,,20343
,,,Behavioral Economics-Honors,Fall 2024,20343
,,51100,Intermed Economics I,Fall 2024,12076
,,57600,Statistical & Machine Learning,Fall 2024,25950
,,60000,Teaching Economics,Fall 2024,10669
,,60600,Microeconomics I,Fall 2024,59875
,,60700,Microeconomics II,Fall 2024,18239
,,60800,Macroeconomic Theory I,Fall 2024,18240
,,61500,Math Anly Economists,Fall 2024,18241
,,65000,Applied Microeconometrics,Fall 2024,10091
,,66800,Topics In Applied Economics,Fall 2024,30609
,,67000,Probability And Stat,Fall 2024,20374
,,,,,33734
,,67100,Econometrics I,Fall 2024,21659
EDCI,EDCI-Educ-Curric & Instruction,20002,Special Pops Sem: ELL & GCT,Fall 2024,19778
,,20500,Exploring Teaching,Fall 2024,17624
,,,,,17626
,,,,,17627
,,,,,17628
,,,,,19026
,,,,,13445
,,21510,Lang & Lit Foundations,Fall 2024,25483
,,21710,Teaching Geography,Fall 2024,16346
,,21910,Teaching Economic Literacy,Fall 2024,24857
,,27000,Intro Ed Tech,Fall 2024,23976
,,,Intro Ed Tech-Honors,Fall 2024,23976
,,28500,Multiculturalism & Edu,Fall 2024,18379
,,,,,18377
,,,,,18378
,,,,,18389
,,,,,18382
,,,,,18381
,,30101,Teaching And Learning In K-2,Fall 2024,16246
,,30102,Teaching And Learning In 3-6,Fall 2024,17283
,,30900,Rdg In Mdle & Sec Schl,Fall 2024,26130
,,,,,29484
,,,,,31820
,,31101,Integrating Media Grades K-2,Fall 2024,17615
,,,,,17616
,,,,,17617
,,,,,17618
,,32250,Phys Ed In Elementary School,Fall 2024,19513
,,,,,19517
,,32501,Teaching Literacy In K-2,Fall 2024,17723
,,,,,17726
,,,,,17729
,,,,,17740
,,32602,Teaching Literacy In 3-6,Fall 2024,17621
,,32650,Intro To Linguistics & Lang Ed,Fall 2024,26167
,,33500,Reading For Tier 1 & 2,Fall 2024,17788
,,,,,17789
,,,,,17794
,,,,,22943
,,35000,Cmty Issues & Appl Educ,Fall 2024,20361
,,,,,20363
,,,,,26116
,,,,,30162
,,,,,30625
,,,,,24468
,,35950,Content Area Instr For EL,Fall 2024,29189
,,,Contnt Area Instr For EL-Honor,Fall 2024,29189
,,36101,Teaching Social Studies K-2,Fall 2024,17680
,,,,,17682
,,,,,17685
,,,,,17687
,,36102,Teaching Social Studies 3-6,Fall 2024,17720
,,36303,Literacy Teaching & Assessment,Fall 2024,18226
,,,,,18228
,,,,,26516
,,,,,26517
,,36401,Teaching Mathematics In K-2,Fall 2024,17043
,,,,,17047
,,,,,17042
,,,,,17048
,,36402,Teaching Mathematics 3-6,Fall 2024,17049
,,36501,Teaching Science K-2,Fall 2024,17010
,,,,,17012
,,,,,17013
,,,,,17014
,,,Teaching Science K-2-Honors,Fall 2024,17013
,,36502,Teaching Science 3-6,Fall 2024,17016
,,37001,Teaching And Learning ENL,Fall 2024,25468
,,,,,25469
,,,,,25470
,,,,,25471
,,,,,31677
,,38100,Teaching For Social Justice,Fall 2024,15605
,,42200,Teach Engl Sec Sch,Fall 2024,48269
,,42600,Teaching Sec Math - Methods II,Fall 2024,15086
,,43300,Adv Social Studies Methods,Fall 2024,27160
,,45200,Global Studies Seminar,Fall 2024,25599
,,49600,Student Tch Elem Sch,Fall 2024,21638
,,49601,Expanded Student Teaching,Fall 2024,27399
,,,,,27400
,,50000,Foundation Of Literacy,Fall 2024,27188
,,55800,Integrated Sec STEM Ed Methods,Fall 2024,27459
,,58000,Foundations Of Curric,Fall 2024,25639
,,59100,Qualitative Data Collection,Fall 2024,27198
,,,Understanding AI Education,Fall 2024,31779
,,61200,Gentrifying Dual Language,Fall 2024,27883
,,61500,Qual Res Meth In Educ,Fall 2024,16297
,,61600,Qual Data Collection& Analysis,Fall 2024,13787
,,62800,Curric&Inst Doctoral Seminar I,Fall 2024,15518
,,66000,Learning Des & Tech Seminar,Fall 2024,53949
EDPS,EDPS-Educ-Ed'l and Psy Studies,10101,Intro To Learning Sciences,Fall 2024,17530
,,10500,Academic & Career Plan-Honors,Fall 2024,19064
,,,Academic And Career Planning,Fall 2024,14707
,,,,,14740
,,,,,14741
,,,,,26518
,,,,,26519
,,,,,26520
,,,,,26525
,,,,,26528
,,,,,26529
,,,,,26530
,,,,,26537
,,,,,26538
,,,,,26541
,,,,,26545
,,,,,26546
,,,,,26549
,,,,,26550
,,,,,26558
,,,,,26560
,,,,,26564
,,,,,26567
,,,,,26572
,,,,,26573
,,,,,26583
,,,,,26584
,,,,,26585
,,,,,26586
,,,,,26588
,,,,,26590
,,17700,Learning & Reg Strategies,Fall 2024,15380
,,,,,14791
,,20001,Special Pops Sem: Disab & Diff,Fall 2024,18949
,,,,,15382
,,21100,Law Policy Ethical Guidelines,Fall 2024,15598
,,,,,26643
,,,,,26644
,,23500,Learning & Motivation,Fall 2024,15458
,,,,,15465
,,,,,28961
,,24000,Intro To Gifted Children,Fall 2024,29810
,,24800,Differentiating C & I,Fall 2024,15505
,,,,,15512
,,26501,The Inclusive Classroom,Fall 2024,18490
,,,,,28953
,,30000,Student Leadership Dev,Fall 2024,11177
,,,,,17409
,,30100,Peer Counseling Tng,Fall 2024,18735
,,30400,Assessment And Transition,Fall 2024,18534
,,30900,Systematic Instruction,Fall 2024,25901
,,31200,Inclusive Practices,Fall 2024,31662
,,31500,Collab Leader: Interpersonal,Fall 2024,10092
,,,,,18216
,,,,,18217
,,,,,18218
,,,,,11130
,,,,,20744
,,,,,23194
,,,,,14939
,,,,,14940
,,,,,15043
,,,,,25196
,,,,,33764
,,,,,33781
,,,,,33782
,,,,,33783
,,,,,33833
,,31600,Leadership: Cross-Cultural,Fall 2024,65089
,,,,,10667
,,,,,21175
,,,,,21176
,,31700,Leadership: Mentoring,Fall 2024,69828
,,,,,21594
,,32700,Classroom Assessment,Fall 2024,16182
,,,,,28963
,,36201,Positive Behavioral Supports,Fall 2024,15383
,,,,,23451
,,41700,SPED For General Educators,Fall 2024,26646
,,42100,Inclusive Practices,Fall 2024,26647
,,43000,Creating Learning Env,Fall 2024,18741
,,,,,30333
,,43010,Secondary Create & Mgt Environ,Fall 2024,28995
,,46100,Student Teaching Sem 1,Fall 2024,21255
,,49000,Life Skill:Success Strat,Fall 2024,21772
,,,,,21808
,,,,,21809
,,,,,13632
,,49500,Practicum In Gifted Education,Fall 2024,30048
,,,,,34620
,,53000,Cognition & Learning Context,Fall 2024,46563
,,53100,Introduction To Measurement,Fall 2024,17537
,,53300,Intr Ed Rsrch I Methd,Fall 2024,17078
,,,,,19033
,,,,,28964
,,54000,Gifted Children,Fall 2024,30071
,,54500,Soc&Affct Dvlp Gft Std,Fall 2024,30075
,,,,,30077
,,,,,30079
,,55200,Basic Concepts Of ABA,Fall 2024,30066
,,55600,Quantitative Data Analysis I,Fall 2024,10847
,,59100,Hist & Systems Of Psychology,Fall 2024,26610
,,63000,Research Proc In Educ,Fall 2024,24697
,,63500,Psychometric Theory,Fall 2024,17694
,,68800,Single Subject Research Design,Fall 2024,32853
EDST,EDST-Ed Leadrship&Cultrl Fnd,20010,Educational Policies And Laws,Fall 2024,16177
EEE,EEE-Environ & Ecological Engr,23000,Engr Economics And Environment,Fall 2024,17633
,,29001,Intro Envr & Ecol Engr Seminar,Fall 2024,17673
,,35000,Intro Env And Ecol Engineering,Fall 2024,66723
,,35500,Eng Env Sustainability,Fall 2024,66724
,,,,,13677
,,36001,Water Quality & Treatment Lab,Fall 2024,13256
,,45600,Wastewater Treatment Processes,Fall 2024,13440
,,48001,Env & Ecol Eng Senior Design,Fall 2024,13280
,,53000,Life Cycle Assess Princple&App,Fall 2024,11589
,,55401,Water Chemistry Env & Ecol Eng,Fall 2024,31582
,,56000,Environmental Data Science,Fall 2024,19371
,,,Innovatn For Env & Eco Chllngs,Fall 2024,19372
,,,Sustainable Manufacturing,Fall 2024,19370
,,69000,Env & Ecol Engr Grad Seminar,Fall 2024,13421
,,69500,Incoming GR Seminar,Fall 2024,23166
ENE,ENE-Engineering Education,69500,Research In P12 Engineering,Fall 2024,32152
ENGL,ENGL-English,10600,First Yr Composition With Conf,Fall 2024,33452
,,,,,33453
,,,,,33454
,,,,,33732
,,,,,33733
,,,,,33850
,,10800,First Year Composition,Fall 2024,19068
,,,,,19070
,,,,,19076
,,,,,21957
,,,,,21968
,,,,,21969
,,,,,21970
,,,,,21971
,,,,,25028
,,,,,25029
,,,,,26855
,,,,,27171
,,,,,27172
,,,,,27173
,,,,,29987
,,,,,29988
,,,,,29989
,,,,,29990
,,,,,29991
,,20200,Engaging English,Fall 2024,17287
,,,,,17288
,,,,,17437
,,20300,Research Prof Writ,Fall 2024,15717
,,20400,Science Fiction Writing,Fall 2024,17449
,,,,,26753
,,20500,Intro Creative Writing,Fall 2024,19509
,,,,,19516
,,,,,19514
,,,,,19511
,,,,,19515
,,,,,25096
,,,,,25097
,,,,,31826
,,,,,31827
,,,,,33317
,,,Intro Creative Writing-Honors,Fall 2024,19515
,,21900,Magic And Marvels,Fall 2024,29792
,,22600,Narrative Medicine,Fall 2024,26754
,,22700,Elements Linguistics,Fall 2024,25159
,,23000,Great Narrative Works,Fall 2024,19526
,,23400,Literature And The Environment,Fall 2024,26874
,,23700,Intro To Poetry,Fall 2024,16895
,,23800,Intro To Fiction,Fall 2024,17000
,,,,,16378
,,,,,28473
,,24100,Brit Lit After 1789,Fall 2024,24229
,,25000,Great American Books,Fall 2024,19550
,,26600,World Lit To 1700 A D,Fall 2024,10364
,,28000,"Games, Narrative, Culture",Fall 2024,16018
,,28600,The Movies,Fall 2024,16451
,,,,,18315
,,,,,16986
,,30100,Ways Of Reading,Fall 2024,19574
,,30400,Advanced Composition,Fall 2024,17173
,,,,,25914
,,,,,23662
,,30600,Intro Profess Writing,Fall 2024,19578
,,30900,Digital Design And Production,Fall 2024,19567
,,31600,Craft Of Fiction,Fall 2024,26902
,,31700,Craft Of Poetry,Fall 2024,25911
,,34200,Legal Fictions,Fall 2024,26903
,,35000,American Lit Before 1865,Fall 2024,24232
,,,American Lit Before1865-Honors,Fall 2024,24232
,,35800,Black Drama,Fall 2024,26901
,,36000,Gender And Literature,Fall 2024,16249
,,36600,Postcolonial Lit,Fall 2024,24246
,,36700,Detective Fiction,Fall 2024,26899
,,,,,31176
,,37300,Science Fict & Fantasy,Fall 2024,16020
,,,,,17197
,,37900,The Short Story,Fall 2024,16889
,,,The Short Story-Honors,Fall 2024,16889
,,38600,History Of Film To 1950,Fall 2024,64290
,,39100,Comp For Engl Teachers,Fall 2024,30339
,,39200,Young Adult Literature,Fall 2024,30342
,,,Young Adult Literature-Honors,Fall 2024,30342
,,40700,Intermediate Poetry Writing,Fall 2024,28037
,,40900,Intermediate Fiction Writing,Fall 2024,46129
,,,,,17447
,,41200,American Short Fiction,Fall 2024,27190
,,41900,Multimedia Writing,Fall 2024,19620
